"","Basin","l","w","a","b","er"
"1","Upper","441.2(0-1640)","806.7(3.5-30000)","-14.09(-14.17,-14.02)","3.24(3.227,3.252)",0.165
"2","Lower","606.8(25-1437)","993.2(4-8981)","-13.84(-13.91,-13.77)","3.188(3.178,3.199)",0.1371
