"","Basin","l","w","a","b","er"
"1","Upper","441.2(0-1640)","806.7(3.5-30000)","0.00000076(0.0000007,0.00000082)","3.24(3.227,3.252)",0.165
"2","Lower","606.8(25-1437)","993.2(4-8981)","0.00000098(0.00000091,0.00000104)","3.188(3.178,3.199)",0.1371
