"","basin","Model","modelType","DIC","dDIC","lik","w"
"1","Lower","VB",1,42491.8112332658,24411.8195153712,0,0
"2","Lower","GM",1,18079.9917178946,0,1,0.540124708816959
"3","Lower","VB",2,63185.6813459947,45105.6896281002,0,0
"4","Lower","GM",2,18080.3134073117,0.321689417090965,0.851424279756263,0.459875291183041
"5","Upper","VB",1,8463.68783716649,1017.06291973229,1.40473080355902e-221,9.08784965316222e-222
"6","Upper","GM",1,7447.83620099562,1.21128356142526,0.545724079040222,0.353054006494533
"7","Upper","VB",2,15331.5602500154,7884.93533258122,0,0
"8","Upper","GM",2,7446.62491743419,0,1,0.646945993505467
